University,Short Name,Доля ППС возрастной категории моложе 40 лет,Доля ППС возрастной категории моложе 65 лет,"Доля ППС, имеющих ученые степени","Доля аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров, обучающихся в очной форме",Доля внебюджетных средств в доходах от научных исследований и разработок,Доля внебюджетных средств в доходах от образовательной деятельности,Доля доходов вуза  из бюджета субъекта РФ и местного бюджета,Доля доходов вуза  из внебюджетных источников,Доля доходов вуза  из федерального бюджета,Доля доходов вуза  от научных исследований и разработок в общих доходах вуза,Доля доходов вуза  от образовательной деятельности в общих доходах вуза,Доля доходов филиала  из бюджета субъекта РФ и местного бюджета,Доля доходов филиала  из внебюджетных источников,Доля доходов филиала  из федерального бюджета,Доля доходов филиала  от научных исследований и разработок в общих доходах филиала,Доля доходов филиала  от образовательной деятельности в общих доходах филиала,"Доля иностранных студентов в общей численности студентов, обучающихся по программам бакалавриата, специалитета, магистратуры","Доля научных работников, имеющих ученые степени","Доля обучающихся по программам бакалавриата в общей численности обучающихся по программам бакалавриата, специалитета, магистратуры","Доля обучающихся по программам бакалавриата, специалитета, магистратуры в очной форме","Доля обучающихся по программам магистратуры в общей численности обучающихся по программам бакалавриата, специалитета, магистратуры","Доля персональных компьютеров, имеющих доступ к Интернету","Доля студентов, не обеспеченных собственным общежитием, в числе студентов, нуждающихся в общежитии",Доходы вуза  из внебюджетных источников,Доходы вуза  из всех источников,Доходы вуза  от образовательной деятельности из иностранных источников,Доходы вуза из иностранных источников на выполнение НИОКР,Доходы филиала  из внебюджетных источников,Доходы филиала  из всех источников,Доходы филиала  от образовательной деятельности из иностранных источников,Доходы филиала из иностранных источников на выполнение НИОКР,Количество бизнес-инкубаторов,Количество малых предприятий,Количество персональных компьютеров,"Количество созданных результатов интеллектуальной деятельности, имеющих правовую охрану за пределами России",Количество технопарков,Количество центров коллективного пользования научным оборудованием,Наличие электронной библиотечной системы,Общая площадь зданий (помещений),Общая численность ППС (без внешних совместителей и работающих по договорам ГПХ),"Общая численность аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров",Общая численность докторантов,"Общая численность иностранных аспирантов (адъюнктов), интернов, ординаторов, ассистентов-стажеров","Общая численность иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры",Общая численность научных работников (без внешних совместителей и работающих по договорам ГПХ),"Общая численность обучающихся по очной форме обучения по программам бакалавриата, специалитета, магистратуры, реализуемым совместно с зарубежными вузами и ведущим к получению двух дипломов",Общая численность обучающихся по программам среднего профессионального образования,Общая численность работников образовательной организации (без внешних совместителей и работающих по договорам ГПХ),Общая численность слушателей программ дополнительного профессионального образования,"Общая численность студентов, обучающихся по программам бакалавриата, специалитета, магистратуры",Общее количество публикаций организации в расчете на 100 НПР,"Общее число образовательных программ высшего образования, реализуемых совместно с зарубежными вузами и ведущих к получению двух дипломов","Общий объем средств, поступивших (за отчетный год) от выполнения НИОКР, выполненных собственными силами","Общий объем средств, поступивших (за отчетный год) от выполнения работ, услуг, связанных с научными, научно-техническими, творческими услугами и разработками, выполненных собственными силами",Площадь крытых спортивных сооружений,Площадь общежитий,Площадь учебно-лабораторных зданий,"Площадь, предназначенная для научно-исследовательских подразделений","Средний балл ЕГЭ студентов, принятых на обучение по программам бакалавриата и специалитета, по всем формам обучения",Средняя заработная плата ППС (без внешних совместителей и работающих по договорам ГПХ),Средняя заработная плата научных работников (без внешних совместителей и работающих по договорам ГПХ),Число диссертационных советов,"Число предприятий, с которыми заключены договоры на подготовку специалистов","Число предприятий, являющихся базами практики, с которыми оформлены договорные отношения","Число статей, подготовленных совместно с зарубежными организациями"
Институт агроинженерии федерального государственного бюджетного образовательного учреждения высшего образования «Южно-Уральский государственный аграрный университет»,Институт агроинженерии федерального государственного бюджетного образовательного учреждения «Южно-Уральский государственный аграрный университет»,21.51,76.34,80.65,92.0,18.78,4.45,,,,,,0.0,13.49,86.51,2.71,80.9,5.51,100.0,78.4,58.23,12.21,93.33,0.0,,,,,41989.8,311184.1,430.7,0.0,0,2,720,0,0,0,да,78475,93,50,0,0,88,2,0,0,183,4284,1597,0.0,0,8439.9,8439.9,1300,31717,34841,1182,49.25,82.14,81.75,0,0,135,0
"Институт агроэкологии - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Южно-Уральский государственный аграрный университет""",Институт агроэкологии - филиал федерального государственного бюджетного образовательного учреждения Южно-Уральский государственный аграрный университет,4.35,86.96,69.57,0.0,46.19,1.4,,,,,,0.0,8.85,91.15,2.94,80.32,6.01,100.0,100.0,51.25,0.0,85.26,0.0,,,,,7598.6,85844.0,105.7,0.0,0,0,95,0,0,0,да,22540,23,0,0,0,36,1,0,0,51,0,599,0.0,0,2522.3,2522.3,973,9612,10921,131,50.06,81.27,163.89,0,0,30,0
"Институт водного транспорта имени Г.Я. Седова - филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Государственный морской университет имени адмирала Ф.Ф. Ушакова""",Институт водного транспорта имени Г.Я. Седова - филиал Федерального государственного бюджетного образовательного учреждения Государственный морской университет имени адмирала Ф.Ф. Ушакова,10.81,72.97,67.57,0.0,100.0,53.64,,,,,,0.0,54.16,45.84,1.1,98.87,2.41,0.0,18.32,33.69,0.0,29.57,0.0,,,,,192322.9,355082.7,0.0,0.0,0,0,805,0,0,0,да,36727,37,0,0,0,27,0,0,1808,45,5694,1119,0.0,0,3911.0,4026.0,0,16908,19171,0,55.8,78.83,0.0,0,0,62,0
Институт морского и речного флота имени Героя Советского Союза М.П. Девятаева - Казанский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Волжский государственный университет водного транспорта»,Институт морского и речного флота имени Героя Советского Союза М.П. Девятаева - Казанский филиал федерального государственного бюджетного образовательного учреждения «Волжский государственный университет водного транспорта»,0.0,62.5,87.5,0.0,100.0,12.94,,,,,,0.0,13.79,86.21,0.93,99.03,16.03,0.0,12.54,19.34,0.0,100.0,0.0,,,,,16427.3,119116.2,0.0,0.0,0,0,157,0,0,0,да,14292,8,0,0,0,92,0,0,460,19,502,574,544.64,0,1110.0,1110.0,164,7204,6890,85,53.02,84.13,0.0,0,0,0,0
Институт педагогического образования и менеджмента (филиал) федерального государственного автономного образовательного учреждения высшего образования «Крымский федеральный университет имени В.И. Вернадского» в г. Армянск,Институт педагогического образования и менеджмента (филиал) федерального государственного автономного образовательного учреждения «Крымский федеральный университет имени В.И. Вернадского» в г. Армянск,35.29,94.12,58.82,0.0,0.0,30.35,,,,,,0.0,20.4,79.6,0.0,67.11,2.31,0.0,100.0,46.4,0.0,69.83,0.0,,,,,8237.3,40374.9,0.0,0.0,0,0,116,0,0,0,да,5576,17,0,0,0,8,0,0,0,52,0,347,0.0,0,0.0,0.0,103,3438,2071,0,0.0,65.99,0.0,0,0,0,0
"Институт традиционного прикладного искусства - Московский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Высшая школа народных искусств (академия)""",Институт традиционного прикладного искусства - Московский филиал федерального государственного бюджетного образовательного учреждения Высшая школа народных искусств (академия),10.0,70.0,90.0,0.0,7.5,2.65,,,,,,0.0,3.22,96.78,9.78,90.11,0.0,100.0,100.0,100.0,0.0,43.53,0.0,,,,,2290.6,71044.4,0.0,0.0,0,0,85,0,0,0,да,1823,10,0,0,0,0,4,0,51,38,0,79,219.41,0,6949.0,6949.0,100,0,1823,29,73.87,181.08,198.55,0,0,4,0
Институт экономики и права (филиал) Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений» в г. Севастополе,Институт экономики и права (филиал) Образовательного учреждения профсоюзов «Академия труда и социальных отношений» в г. Севастополе,11.54,69.23,57.69,0.0,100.0,100.0,,,,,,0.0,100.0,0.0,0.3,87.26,0.75,0.0,100.0,56.14,0.0,100.0,0.0,,,,,41195.6,41195.6,0.0,0.0,0,0,78,0,0,0,да,1765,26,0,0,0,3,0,0,0,51,0,399,218.75,0,0.0,0.0,0,0,1765,0,51.69,17.98,0.0,0,0,0,0
Институт ядерной энергетики (филиал) федерального государственного автономного образовательного учреждения высшего образования «Санкт-Петербургский политехнический университет Петра Великого» в г. Сосновый Бор,Институт ядерной энергетики (филиал) федерального государственного автономного образовательного учреждения «Санкт-Петербургский политехнический университет Петра Великого» в г. Сосновый Бор,9.09,45.45,54.55,0.0,100.0,19.81,,,,,,0.0,57.84,42.16,47.42,52.58,0.0,0.0,0.0,97.06,0.0,77.6,0.0,,,,,30179.8,52179.8,0.0,0.0,0,0,125,0,0,0,да,3582,11,0,0,0,0,0,0,0,19,68,136,0.0,0,0.0,0.0,385,0,3381,52,46.5,133.76,0.0,0,2,5,0
Иркутский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,Иркутский институт (филиал) федерального государственного бюджетного образовательного учреждения «Всероссийский государственный университет юстиции (РПА Минюста России)»,30.0,90.0,90.0,44.44,100.0,79.35,,,,,,0.06,88.41,11.53,2.9,56.11,0.1,50.0,22.3,54.46,9.23,100.0,0.0,,,,,147047.7,166319.6,0.0,0.0,0,0,221,0,0,0,да,7536,30,18,0,0,1,2,0,120,61,319,964,0.0,0,4817.9,4817.9,162,0,3355,0,61.21,104.87,108.1,0,3,32,0
"Иркутский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Московский государственный технический университет гражданской авиации"" (МГТУ ГА)",Иркутский филиал федерального государственного бюджетного образовательного учреждения Московский государственный технический университет гражданской авиации (МГТУ ГА),11.63,76.74,76.74,0.0,100.0,12.62,,,,,,0.0,20.98,79.02,1.64,90.43,0.29,100.0,77.04,48.97,0.0,91.79,0.0,,,,,88326.9,420974.1,0.0,0.0,0,0,780,0,0,0,да,42635,43,0,0,0,3,1,0,808,187,1163,1019,154.6,0,6903.1,6903.1,445,10777,19336,0,62.96,103.33,31.22,0,3,31,2
